,Gender,Car_Owner,Propert_Owner,Children,Annual_income,Type_Income,Education,Marital_status,Housing_type,Age,Employed_exp,Type_Occupation,Family_Members,label
508,F,N,Y,0,90000.0,Commercial associate,Higher education,Married,House / apartment,25.0,2.0,Sales staff,2,0
509,F,N,Y,0,148500.0,Pensioner,Secondary / secondary special,Married,House / apartment,59.0,0.0,other,2,0
510,F,N,N,0,99000.0,Working,Secondary / secondary special,Married,With parents,54.0,15.0,Medicine staff,2,0
511,F,N,Y,0,315000.0,Pensioner,Secondary / secondary special,Widow,House / apartment,63.0,0.0,other,1,0
512,F,N,Y,1,162000.0,State servant,Higher education,Civil marriage,House / apartment,41.0,0.0,Accountants,3,0
513,F,N,Y,0,202500.0,Commercial associate,Secondary / secondary special,Widow,House / apartment,48.0,15.0,Managers,1,0
514,F,Y,Y,0,225000.0,Working,Higher education,Single / not married,House / apartment,27.0,2.0,other,1,0
515,F,N,Y,0,337500.0,State servant,Secondary / secondary special,Married,House / apartment,34.0,10.0,Accountants,2,0
516,F,N,Y,0,292500.0,Working,Higher education,Married,House / apartment,58.0,13.0,Core staff,2,0
517,F,N,Y,0,67500.0,Pensioner,Higher education,Single / not married,Municipal apartment,65.0,0.0,other,1,0
518,F,N,N,0,157500.0,Working,Higher education,Separated,House / apartment,47.0,8.0,Medicine staff,1,0
519,F,N,Y,0,135000.0,State servant,Secondary / secondary special,Married,House / apartment,56.0,21.0,Core staff,2,0
520,F,N,Y,0,67500.0,Working,Higher education,Married,House / apartment,39.0,4.0,Core staff,2,0
521,F,N,Y,0,144000.0,Pensioner,Secondary / secondary special,Married,House / apartment,64.0,0.0,other,2,0
522,F,Y,Y,0,90000.0,Pensioner,Secondary / secondary special,Married,House / apartment,63.0,0.0,other,2,0
523,F,N,Y,0,112500.0,Working,Secondary / secondary special,Separated,House / apartment,54.0,6.0,Cleaning staff,1,0
524,F,N,Y,0,112500.0,Working,Secondary / secondary special,Single / not married,House / apartment,27.0,3.0,Laborers,1,0
525,F,N,Y,0,135000.0,Working,Secondary / secondary special,Civil marriage,House / apartment,45.0,21.0,Managers,2,0
526,M,Y,N,0,360000.0,State servant,Higher education,Married,House / apartment,27.0,5.0,other,2,0
527,F,N,Y,1,112500.0,Working,Higher education,Single / not married,House / apartment,42.0,3.0,Core staff,2,0
528,M,N,Y,0,225000.0,Working,Secondary / secondary special,Civil marriage,House / apartment,29.0,3.0,Managers,2,0
529,F,Y,Y,0,112500.0,Pensioner,Secondary / secondary special,Married,House / apartment,55.0,0.0,other,2,0
530,F,N,Y,0,202500.0,Working,Secondary / secondary special,Married,House / apartment,42.0,21.0,High skill tech staff,2,0
531,M,Y,Y,0,202500.0,State servant,Secondary / secondary special,Married,House / apartment,40.0,6.0,Core staff,2,0
532,M,N,N,1,225000.0,Commercial associate,Secondary / secondary special,Married,With parents,49.0,5.0,Drivers,3,0
533,M,Y,Y,2,112500.0,Working,Secondary / secondary special,Married,House / apartment,33.0,3.0,Laborers,4,0
534,M,Y,Y,1,202500.0,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,34.0,7.0,High skill tech staff,3,0
535,M,Y,N,0,328500.0,Working,Higher education,Married,House / apartment,41.0,7.0,other,2,0
536,M,N,Y,2,112500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,30.0,3.0,Laborers,4,0
537,M,Y,Y,0,202500.0,Working,Secondary / secondary special,Married,House / apartment,55.0,1.0,Laborers,2,0
538,M,Y,Y,0,135000.0,Working,Secondary / secondary special,Married,House / apartment,28.0,3.0,Sales staff,2,0
539,M,Y,Y,1,157500.0,Working,Secondary / secondary special,Married,House / apartment,44.0,6.0,Laborers,3,0
540,F,N,Y,2,270000.0,Commercial associate,Higher education,Married,House / apartment,42.0,6.0,Secretaries,4,0
541,M,Y,Y,0,157500.0,Working,Secondary / secondary special,Married,House / apartment,31.0,7.0,Drivers,2,0
542,F,N,Y,0,193500.0,Working,Secondary / secondary special,Married,House / apartment,58.0,21.0,other,2,0
543,F,Y,Y,0,103500.0,Pensioner,Secondary / secondary special,Married,House / apartment,59.0,0.0,other,2,0
544,M,Y,Y,0,90000.0,Working,Secondary / secondary special,Married,House / apartment,55.0,3.0,Core staff,2,0
545,M,Y,N,0,198000.0,Commercial associate,Higher education,Married,House / apartment,37.0,8.0,Managers,2,0
546,F,N,Y,0,202500.0,Pensioner,Secondary / secondary special,Married,House / apartment,60.0,0.0,other,2,0
547,M,Y,N,0,225000.0,Working,Secondary / secondary special,Married,House / apartment,30.0,4.0,other,2,0
548,M,Y,Y,0,72000.0,Working,Higher education,Married,House / apartment,60.0,2.0,Security staff,2,0
549,M,Y,N,2,202500.0,Working,Secondary / secondary special,Married,House / apartment,44.0,10.0,Laborers,4,0
550,F,Y,Y,1,247500.0,Working,Secondary / secondary special,Civil marriage,House / apartment,47.0,3.0,Laborers,3,0
551,M,Y,N,0,157500.0,State servant,Secondary / secondary special,Married,House / apartment,41.0,9.0,other,2,0
552,F,N,N,0,225000.0,State servant,Secondary / secondary special,Married,With parents,34.0,1.0,Medicine staff,2,0
553,M,N,N,0,112500.0,Commercial associate,Secondary / secondary special,Single / not married,Municipal apartment,43.0,1.0,Laborers,1,0
554,M,Y,Y,1,380250.0,Commercial associate,Higher education,Married,House / apartment,48.0,5.0,other,3,0
555,M,Y,Y,1,180000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,27.0,0.0,Drivers,3,0
556,F,N,N,1,108000.0,Working,Secondary / secondary special,Separated,House / apartment,39.0,11.0,other,2,0
557,F,N,Y,0,337500.0,State servant,Higher education,Married,House / apartment,47.0,4.0,Managers,2,0
558,F,Y,N,0,202500.0,Commercial associate,Secondary / secondary special,Civil marriage,With parents,39.0,15.0,other,2,0
559,M,N,Y,0,157500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,57.0,3.0,Laborers,2,0
560,F,N,Y,1,90000.0,Working,Secondary / secondary special,Separated,With parents,36.0,3.0,Sales staff,2,0
561,F,N,Y,0,166500.0,Working,Secondary / secondary special,Married,House / apartment,55.0,3.0,other,2,0
562,M,N,N,2,225000.0,Working,Higher education,Civil marriage,House / apartment,46.0,8.0,Laborers,4,0
563,F,N,Y,0,90000.0,Working,Secondary / secondary special,Single / not married,House / apartment,40.0,2.0,other,1,0
564,F,N,N,0,72000.0,Working,Secondary / secondary special,Single / not married,House / apartment,52.0,4.0,Cleaning staff,1,0
565,M,Y,Y,2,225000.0,Working,Secondary / secondary special,Separated,House / apartment,49.0,5.0,Drivers,4,0
566,M,N,Y,0,157500.0,Working,Secondary / secondary special,Married,House / apartment,26.0,8.0,Laborers,2,0
567,M,N,Y,0,360000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,34.0,11.0,Managers,2,0
568,M,Y,Y,0,380250.0,Commercial associate,Higher education,Single / not married,House / apartment,30.0,2.0,Sales staff,1,0
569,F,Y,N,0,216000.0,Working,Higher education,Married,Municipal apartment,33.0,1.0,Sales staff,2,0
570,F,N,Y,0,157500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,42.0,12.0,Laborers,2,0
571,M,Y,Y,0,315000.0,Working,Higher education,Married,House / apartment,49.0,3.0,Laborers,2,0
572,F,Y,Y,2,315000.0,State servant,Secondary / secondary special,Married,House / apartment,34.0,3.0,Managers,4,0
573,F,N,N,0,337500.0,Pensioner,Higher education,Single / not married,Municipal apartment,48.0,0.0,other,1,0
574,F,Y,N,0,135000.0,Working,Secondary / secondary special,Married,House / apartment,50.0,2.0,other,2,0
575,F,N,Y,0,180000.0,State servant,Higher education,Married,House / apartment,48.0,3.0,Core staff,2,0
576,M,Y,N,0,157500.0,Working,Secondary / secondary special,Separated,House / apartment,47.0,2.0,Security staff,1,0
577,F,Y,Y,1,234000.0,Working,Secondary / secondary special,Single / not married,House / apartment,57.0,8.0,other,2,0
578,F,Y,Y,0,99000.0,Pensioner,Secondary / secondary special,Civil marriage,House / apartment,59.0,0.0,other,2,0
579,M,Y,N,0,225000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,49.0,11.0,Drivers,2,0
580,M,Y,Y,1,292500.0,Commercial associate,Higher education,Married,House / apartment,34.0,9.0,other,3,0
581,F,N,N,0,198000.0,Pensioner,Secondary / secondary special,Widow,House / apartment,60.0,0.0,other,1,0
582,F,N,Y,0,90000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,53.0,8.0,Laborers,2,0
583,F,N,Y,0,247500.0,Pensioner,Higher education,Married,House / apartment,61.0,0.0,other,2,0
584,M,Y,N,2,112500.0,Working,Higher education,Married,House / apartment,44.0,18.0,High skill tech staff,4,0
585,F,N,N,1,157500.0,Commercial associate,Incomplete higher,Married,With parents,33.0,8.0,other,3,0
586,F,N,N,1,112500.0,Commercial associate,Higher education,Married,House / apartment,44.0,7.0,Managers,3,0
587,M,Y,Y,0,380250.0,Commercial associate,Secondary / secondary special,Married,With parents,46.0,5.0,Drivers,2,0
588,F,Y,N,0,180000.0,Working,Secondary / secondary special,Married,House / apartment,53.0,21.0,Medicine staff,2,0
589,F,Y,N,1,225000.0,Working,Higher education,Single / not married,With parents,38.0,15.0,Laborers,2,0
590,F,Y,Y,1,225000.0,Commercial associate,Secondary / secondary special,Separated,House / apartment,30.0,4.0,Managers,2,0
591,F,N,Y,0,135000.0,Working,Secondary / secondary special,Married,House / apartment,56.0,8.0,Managers,2,0
592,M,N,Y,0,112500.0,Working,Secondary / secondary special,Civil marriage,House / apartment,49.0,1.0,Security staff,2,0
593,F,Y,Y,0,112500.0,Pensioner,Secondary / secondary special,Married,House / apartment,57.0,0.0,other,2,0
594,M,Y,N,0,180000.0,Commercial associate,Secondary / secondary special,Married,Municipal apartment,27.0,8.0,other,2,0
595,F,N,Y,2,112500.0,Working,Secondary / secondary special,Married,House / apartment,36.0,7.0,Laborers,4,0
596,F,N,N,0,117000.0,Working,Secondary / secondary special,Married,Municipal apartment,37.0,4.0,Sales staff,2,0
597,M,Y,Y,0,135000.0,Working,Secondary / secondary special,Married,House / apartment,53.0,21.0,Laborers,2,0
598,M,Y,N,2,270000.0,Working,Higher education,Married,House / apartment,32.0,8.0,other,4,0
599,F,Y,N,0,135000.0,Commercial associate,Higher education,Married,House / apartment,32.0,2.0,High skill tech staff,2,0
600,M,Y,Y,1,157500.0,Working,Secondary / secondary special,Married,House / apartment,32.0,6.0,other,3,0
601,F,Y,Y,0,243000.0,Working,Secondary / secondary special,Single / not married,House / apartment,40.0,6.0,Sales staff,1,0
602,M,N,N,0,121500.0,State servant,Incomplete higher,Single / not married,House / apartment,25.0,4.0,Laborers,1,0
603,M,N,Y,1,135000.0,Working,Secondary / secondary special,Married,House / apartment,32.0,2.0,Laborers,3,0
604,M,Y,Y,0,225000.0,Commercial associate,Higher education,Single / not married,House / apartment,44.0,7.0,Sales staff,1,0
605,M,Y,Y,2,225000.0,Working,Higher education,Married,House / apartment,37.0,3.0,Drivers,4,0
606,M,Y,N,0,112500.0,State servant,Secondary / secondary special,Married,House / apartment,54.0,6.0,Laborers,2,0
607,F,N,Y,0,157500.0,Pensioner,Secondary / secondary special,Married,House / apartment,63.0,0.0,other,2,0
608,M,Y,N,0,202500.0,Pensioner,Higher education,Married,House / apartment,55.0,0.0,other,2,0
609,F,N,Y,1,337500.0,Working,Secondary / secondary special,Civil marriage,House / apartment,49.0,13.0,Laborers,3,0
610,F,N,N,1,103500.0,Working,Secondary / secondary special,Married,House / apartment,32.0,3.0,Sales staff,3,0
611,F,Y,Y,0,99000.0,Pensioner,Secondary / secondary special,Married,House / apartment,58.0,0.0,other,2,0
612,F,Y,N,1,67500.0,State servant,Secondary / secondary special,Married,House / apartment,42.0,3.0,Core staff,3,0
613,F,N,Y,0,112500.0,Pensioner,Secondary / secondary special,Married,House / apartment,58.0,0.0,other,2,0
614,F,N,Y,0,270000.0,Working,Secondary / secondary special,Single / not married,House / apartment,35.0,3.0,Core staff,1,0
615,M,N,Y,1,315000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,34.0,11.0,Core staff,3,0
616,F,N,Y,0,135000.0,Pensioner,Lower secondary,Married,House / apartment,62.0,0.0,other,2,0
617,M,Y,N,1,180000.0,Working,Higher education,Married,House / apartment,31.0,1.0,Drivers,3,0
618,F,N,Y,0,225000.0,Working,Incomplete higher,Married,House / apartment,34.0,1.0,Managers,2,0
619,F,N,N,1,85500.0,Working,Secondary / secondary special,Civil marriage,House / apartment,28.0,2.0,Accountants,3,0
620,F,N,Y,0,135000.0,Working,Secondary / secondary special,Married,House / apartment,43.0,8.0,other,2,0
621,F,Y,Y,1,119700.0,Working,Higher education,Married,House / apartment,36.0,9.0,other,3,0
622,M,Y,N,1,380250.0,Working,Secondary / secondary special,Married,House / apartment,28.0,1.0,Laborers,3,0
623,M,N,Y,0,112500.0,Working,Secondary / secondary special,Married,House / apartment,53.0,10.0,Drivers,2,0
624,F,N,Y,2,153000.0,Commercial associate,Higher education,Married,House / apartment,36.0,4.0,Accountants,4,0
625,F,N,Y,2,216000.0,State servant,Higher education,Married,House / apartment,42.0,9.0,other,4,0
626,F,N,Y,0,202500.0,Working,Secondary / secondary special,Married,House / apartment,44.0,8.0,Sales staff,2,0
627,F,N,Y,0,90000.0,State servant,Secondary / secondary special,Married,House / apartment,48.0,1.0,other,2,0
628,F,N,N,1,108000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,42.0,2.0,Medicine staff,3,0
629,F,N,Y,0,270000.0,Pensioner,Higher education,Married,House / apartment,61.0,0.0,other,2,0
630,F,N,N,0,76500.0,Pensioner,Secondary / secondary special,Married,House / apartment,56.0,0.0,other,2,0
631,F,N,Y,0,69372.0,Working,Secondary / secondary special,Married,House / apartment,44.0,1.0,Laborers,2,0
632,F,N,Y,1,135000.0,Commercial associate,Incomplete higher,Married,House / apartment,28.0,7.0,Managers,3,0
633,F,N,N,0,117000.0,Working,Secondary / secondary special,Married,House / apartment,57.0,6.0,other,2,0
634,F,N,Y,0,202500.0,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,46.0,12.0,Sales staff,2,0
635,F,N,Y,2,126000.0,Working,Secondary / secondary special,Married,House / apartment,27.0,4.0,Sales staff,4,0
636,F,N,Y,0,135000.0,Pensioner,Secondary / secondary special,Married,House / apartment,57.0,0.0,other,2,0
637,M,N,N,0,180000.0,Working,Secondary / secondary special,Single / not married,With parents,35.0,4.0,Drivers,1,0
638,F,Y,Y,0,225000.0,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,33.0,4.0,High skill tech staff,1,0
639,M,N,Y,0,81000.0,Commercial associate,Higher education,Single / not married,House / apartment,27.0,5.0,Laborers,1,0
640,F,Y,Y,1,157500.0,Working,Incomplete higher,Civil marriage,House / apartment,36.0,8.0,other,3,0
641,F,N,N,0,90000.0,Pensioner,Secondary / secondary special,Widow,House / apartment,59.0,0.0,other,1,0
642,M,Y,Y,1,225000.0,Working,Secondary / secondary special,Married,House / apartment,31.0,2.0,Drivers,3,0
643,F,N,Y,0,157500.0,Pensioner,Secondary / secondary special,Married,House / apartment,62.0,0.0,other,2,0
644,F,N,Y,0,103500.0,Working,Secondary / secondary special,Single / not married,House / apartment,48.0,6.0,Sales staff,1,0
645,M,Y,N,2,202500.0,Commercial associate,Higher education,Married,House / apartment,32.0,1.0,Managers,4,0
646,F,N,Y,2,37800.0,Pensioner,Secondary / secondary special,Married,House / apartment,36.0,0.0,other,4,0
647,F,Y,N,0,135000.0,Pensioner,Secondary / secondary special,Married,House / apartment,55.0,0.0,other,2,0
648,F,N,Y,0,157500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,47.0,9.0,Laborers,2,0
649,M,N,N,0,180000.0,Commercial associate,Higher education,Single / not married,House / apartment,26.0,4.0,High skill tech staff,1,0
650,F,N,Y,0,135000.0,Working,Secondary / secondary special,Single / not married,House / apartment,37.0,0.0,Sales staff,1,0
651,M,N,Y,1,225000.0,Working,Higher education,Married,House / apartment,36.0,10.0,Core staff,3,0
652,F,N,N,0,157500.0,Working,Secondary / secondary special,Married,House / apartment,54.0,21.0,other,2,0
653,F,N,Y,0,337500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,55.0,14.0,Sales staff,2,0
654,M,Y,Y,2,225000.0,Working,Secondary / secondary special,Married,House / apartment,28.0,9.0,Laborers,4,0
655,M,N,Y,0,225000.0,Working,Secondary / secondary special,Single / not married,House / apartment,27.0,1.0,Drivers,1,0
656,F,Y,N,0,126000.0,State servant,Incomplete higher,Single / not married,House / apartment,33.0,14.0,Core staff,1,0
657,F,Y,Y,2,135000.0,Working,Secondary / secondary special,Married,House / apartment,43.0,9.0,Laborers,4,0
658,F,N,Y,1,202500.0,Working,Secondary / secondary special,Married,House / apartment,43.0,2.0,other,3,0
659,M,Y,Y,2,225000.0,Working,Secondary / secondary special,Married,House / apartment,30.0,7.0,Laborers,4,0
660,F,N,N,0,157500.0,Commercial associate,Higher education,Separated,With parents,43.0,1.0,other,1,0
661,M,Y,Y,1,202500.0,Working,Secondary / secondary special,Married,House / apartment,42.0,6.0,Drivers,3,0
662,M,N,N,1,247500.0,Working,Secondary / secondary special,Single / not married,House / apartment,46.0,18.0,Laborers,2,0
663,M,Y,Y,0,225000.0,Commercial associate,Higher education,Married,House / apartment,30.0,0.0,Managers,2,0
664,M,Y,N,1,112500.0,Working,Secondary / secondary special,Married,House / apartment,54.0,6.0,Laborers,3,0
665,M,N,Y,1,112500.0,Working,Higher education,Married,House / apartment,37.0,15.0,other,3,0
666,F,N,N,0,135000.0,State servant,Secondary / secondary special,Single / not married,House / apartment,42.0,4.0,Core staff,1,0
667,F,N,Y,0,207000.0,Working,Secondary / secondary special,Single / not married,House / apartment,51.0,7.0,Cooking staff,1,0
668,F,N,Y,0,270000.0,Commercial associate,Incomplete higher,Married,House / apartment,41.0,9.0,Core staff,2,0
669,F,Y,N,2,315000.0,Working,Secondary / secondary special,Married,House / apartment,43.0,10.0,Sales staff,4,0
670,F,N,N,0,315000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,37.0,9.0,High skill tech staff,2,0
671,F,N,Y,0,112500.0,Working,Secondary / secondary special,Married,House / apartment,40.0,7.0,Managers,2,0
672,F,Y,Y,0,121500.0,Working,Higher education,Married,House / apartment,28.0,5.0,Sales staff,2,0
673,F,N,Y,1,225000.0,Working,Secondary / secondary special,Single / not married,House / apartment,41.0,9.0,Private service staff,2,0
674,M,Y,N,0,225000.0,Working,Secondary / secondary special,Civil marriage,Office apartment,57.0,9.0,Laborers,2,0
675,F,Y,Y,1,157500.0,Pensioner,Secondary / secondary special,Married,House / apartment,57.0,0.0,other,3,0
676,F,N,N,0,225000.0,State servant,Secondary / secondary special,Married,House / apartment,37.0,8.0,Managers,2,0
677,F,Y,Y,0,135000.0,Pensioner,Secondary / secondary special,Married,House / apartment,63.0,0.0,other,2,0
678,M,Y,Y,0,225000.0,State servant,Secondary / secondary special,Married,House / apartment,38.0,10.0,High skill tech staff,2,0
679,F,Y,Y,0,270000.0,Commercial associate,Secondary / secondary special,Separated,House / apartment,41.0,6.0,Sales staff,1,0
680,F,N,Y,0,202500.0,Pensioner,Secondary / secondary special,Widow,House / apartment,58.0,0.0,other,1,0
681,M,N,Y,1,135000.0,Working,Secondary / secondary special,Civil marriage,House / apartment,36.0,7.0,other,3,0
682,F,N,N,0,112500.0,Pensioner,Secondary / secondary special,Civil marriage,House / apartment,64.0,0.0,other,2,0
683,F,Y,Y,0,157500.0,Pensioner,Lower secondary,Married,House / apartment,60.0,0.0,other,2,0
684,M,Y,Y,0,380250.0,Commercial associate,Higher education,Separated,House / apartment,44.0,2.0,other,1,0
685,F,N,N,0,202500.0,Working,Secondary / secondary special,Separated,House / apartment,46.0,11.0,Laborers,1,0
686,M,Y,Y,2,380250.0,Commercial associate,Higher education,Married,House / apartment,27.0,3.0,Managers,4,0
687,F,Y,Y,0,135000.0,Working,Secondary / secondary special,Civil marriage,House / apartment,45.0,21.0,Laborers,2,0
688,M,Y,Y,0,337500.0,Working,Higher education,Married,House / apartment,65.0,21.0,Laborers,2,0
689,F,N,N,0,94500.0,Pensioner,Secondary / secondary special,Married,House / apartment,44.0,0.0,other,2,0
690,M,Y,Y,0,90000.0,Pensioner,Secondary / secondary special,Married,House / apartment,50.0,0.0,other,2,0
691,M,N,Y,0,157500.0,Working,Higher education,Married,House / apartment,38.0,12.0,Laborers,2,0
692,M,N,Y,0,270000.0,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,40.0,16.0,Laborers,1,0
693,F,N,Y,1,112500.0,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,41.0,4.0,Sales staff,3,0
694,M,N,Y,0,135000.0,Working,Secondary / secondary special,Single / not married,House / apartment,29.0,2.0,Sales staff,1,0
695,F,N,Y,0,270000.0,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,58.0,7.0,Accountants,1,0
696,M,Y,Y,0,112500.0,Working,Secondary / secondary special,Single / not married,House / apartment,27.0,4.0,other,1,0
697,M,N,Y,0,225000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,32.0,10.0,other,2,0
698,F,N,Y,0,54000.0,Pensioner,Higher education,Married,House / apartment,67.0,0.0,other,2,0
699,F,N,Y,0,189000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,55.0,17.0,other,2,0
700,F,Y,Y,1,135000.0,Commercial associate,Higher education,Married,House / apartment,42.0,8.0,Private service staff,3,0
701,F,N,Y,0,157500.0,Pensioner,Secondary / secondary special,Single / not married,House / apartment,66.0,0.0,other,1,0
702,F,N,Y,0,121500.0,Pensioner,Secondary / secondary special,Married,House / apartment,62.0,0.0,other,2,0
703,M,N,Y,1,180000.0,Working,Higher education,Married,With parents,43.0,5.0,Cooking staff,3,0
704,F,N,Y,0,121500.0,Pensioner,Higher education,Widow,House / apartment,66.0,0.0,other,1,0
705,F,Y,N,0,225000.0,Working,Higher education,Civil marriage,House / apartment,40.0,7.0,Managers,2,0
706,F,N,N,0,180000.0,Commercial associate,Secondary / secondary special,Single / not married,Municipal apartment,46.0,12.0,Sales staff,1,0
707,M,N,Y,0,315000.0,Working,Secondary / secondary special,Married,House / apartment,54.0,3.0,Laborers,2,0
708,M,Y,Y,0,112500.0,Working,Secondary / secondary special,Married,House / apartment,50.0,1.0,other,2,0
709,F,N,N,0,90000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,24.0,1.0,other,2,0
710,F,Y,Y,0,90000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,39.0,6.0,Medicine staff,2,0
711,F,N,N,0,45000.0,Working,Secondary / secondary special,Separated,House / apartment,39.0,2.0,Sales staff,1,0
712,M,Y,Y,0,180000.0,State servant,Secondary / secondary special,Married,House / apartment,26.0,7.0,Drivers,2,0
713,M,Y,Y,0,112500.0,Working,Secondary / secondary special,Single / not married,House / apartment,27.0,4.0,other,1,0
714,M,Y,Y,1,135000.0,State servant,Higher education,Married,House / apartment,25.0,0.0,Core staff,3,0
715,M,N,Y,0,360000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,34.0,11.0,Managers,2,0
716,M,Y,Y,0,135000.0,Working,Higher education,Civil marriage,House / apartment,53.0,2.0,Laborers,2,0
717,F,Y,Y,0,99000.0,Working,Secondary / secondary special,Married,House / apartment,58.0,6.0,other,2,0
718,M,N,Y,0,270000.0,Working,Higher education,Single / not married,House / apartment,42.0,9.0,Laborers,1,0
719,F,N,Y,0,157500.0,Working,Higher education,Married,House / apartment,34.0,5.0,Core staff,2,0
720,M,N,Y,0,166500.0,Working,Secondary / secondary special,Married,House / apartment,55.0,7.0,Security staff,2,0
721,M,Y,N,0,180000.0,Working,Secondary / secondary special,Married,House / apartment,44.0,0.0,Security staff,2,0
722,M,Y,N,0,315000.0,Working,Secondary / secondary special,Married,House / apartment,46.0,14.0,Drivers,2,0
723,F,N,N,0,112500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,54.0,2.0,High skill tech staff,2,0
724,M,N,Y,0,108000.0,Working,Secondary / secondary special,Married,House / apartment,44.0,20.0,Laborers,2,0
725,F,N,Y,0,180000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,58.0,7.0,other,2,0
726,F,N,N,2,225000.0,Working,Secondary / secondary special,Married,House / apartment,39.0,3.0,Medicine staff,4,0
727,M,Y,Y,0,90000.0,Working,Secondary / secondary special,Married,House / apartment,33.0,15.0,Laborers,2,0
728,M,Y,Y,0,292500.0,State servant,Higher education,Married,House / apartment,35.0,6.0,High skill tech staff,2,0
729,F,N,Y,2,157500.0,Working,Secondary / secondary special,Married,House / apartment,39.0,5.0,Laborers,4,0
730,F,N,Y,0,135000.0,Working,Secondary / secondary special,Separated,House / apartment,40.0,4.0,other,1,0
731,F,Y,N,0,315000.0,Commercial associate,Higher education,Married,House / apartment,53.0,5.0,Accountants,2,0
732,F,N,Y,0,225000.0,Working,Higher education,Married,House / apartment,44.0,8.0,Managers,2,0
733,F,Y,Y,1,333000.0,Commercial associate,Higher education,Married,House / apartment,32.0,4.0,Managers,3,0
734,F,N,Y,0,171000.0,Working,Secondary / secondary special,Single / not married,House / apartment,54.0,21.0,Accountants,1,0
735,F,N,N,2,130500.0,Working,Secondary / secondary special,Married,House / apartment,42.0,10.0,Sales staff,4,0
736,F,Y,N,0,112500.0,Working,Secondary / secondary special,Married,House / apartment,28.0,9.0,Laborers,2,0
737,M,Y,N,1,202500.0,Commercial associate,Incomplete higher,Married,House / apartment,30.0,10.0,Laborers,3,0
738,F,N,Y,1,126000.0,Working,Higher education,Married,House / apartment,35.0,4.0,Sales staff,3,0
739,M,Y,Y,0,225000.0,Working,Secondary / secondary special,Married,House / apartment,53.0,8.0,Laborers,2,0
740,F,N,Y,0,135000.0,Working,Secondary / secondary special,Married,House / apartment,57.0,6.0,Laborers,2,0
741,F,N,Y,1,112500.0,Working,Secondary / secondary special,Married,House / apartment,39.0,12.0,Cooking staff,3,0
742,F,N,Y,1,105750.0,Working,Secondary / secondary special,Married,With parents,35.0,4.0,Cleaning staff,3,0
743,F,N,N,0,135000.0,Working,Secondary / secondary special,Married,House / apartment,44.0,2.0,Laborers,2,0
744,M,Y,Y,0,180000.0,State servant,Higher education,Single / not married,House / apartment,22.0,2.0,other,1,0
745,M,N,N,0,360000.0,Commercial associate,Higher education,Married,House / apartment,56.0,5.0,Managers,2,0
746,M,Y,N,0,157500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,53.0,14.0,Laborers,2,0
747,F,N,Y,0,90000.0,Pensioner,Secondary / secondary special,Single / not married,House / apartment,64.0,0.0,other,1,0
748,F,N,Y,0,112500.0,Working,Secondary / secondary special,Single / not married,House / apartment,44.0,5.0,Managers,1,0
749,F,Y,Y,1,180000.0,Working,Secondary / secondary special,Married,House / apartment,34.0,10.0,other,3,0
750,M,Y,Y,0,225000.0,Working,Secondary / secondary special,Married,House / apartment,49.0,4.0,Laborers,2,0
751,F,N,Y,0,67500.0,Pensioner,Secondary / secondary special,Single / not married,House / apartment,56.0,0.0,other,1,0
752,M,Y,Y,0,270000.0,Working,Secondary / secondary special,Single / not married,House / apartment,38.0,4.0,Laborers,1,0
753,F,N,N,0,202500.0,Commercial associate,Higher education,Married,House / apartment,31.0,10.0,High skill tech staff,2,0
754,F,Y,Y,0,144000.0,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,36.0,10.0,Medicine staff,2,0
755,M,Y,Y,0,207000.0,Pensioner,Higher education,Married,House / apartment,67.0,0.0,other,2,0
756,M,Y,N,0,180000.0,Commercial associate,Secondary / secondary special,Married,Municipal apartment,27.0,8.0,other,2,0
757,M,Y,Y,2,202500.0,Working,Secondary / secondary special,Married,House / apartment,37.0,5.0,Laborers,4,0
758,M,N,N,0,202500.0,Working,Secondary / secondary special,Civil marriage,House / apartment,62.0,0.0,Drivers,2,0
